Date : 2024-11-27 16:37:31
Directory : c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project
Total : 178 files,  20925 codes, 122 comments, 1228 blanks, all 22275 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| client\src\app\client\(main-pages) (Files)                                                                                                            |          1 |         20 |          0 |          3 |         23 |
| client\src\app\client\(main-pages)\about-us                                                                                                           |          1 |         78 |          3 |          6 |         87 |
| client\src\app\client\(main-pages)\offers                                                                                                             |          6 |        803 |         16 |         77 |        896 |
| client\src\app\client\(main-pages)\offers (Files)                                                                                                     |          2 |         53 |         15 |          8 |         76 |
| client\src\app\client\(main-pages)\offers\products                                                                                                    |          3 |        186 |          0 |         17 |        203 |
| client\src\app\client\(main-pages)\offers\products (Files)                                                                                            |          1 |         36 |          0 |          4 |         40 |
| client\src\app\client\(main-pages)\offers\products\[productId]                                                                                        |          2 |        150 |          0 |         13 |        163 |
| client\src\app\client\(main-pages)\offers\products\[productId] (Files)                                                                                |          1 |        106 |          0 |          8 |        114 |
| client\src\app\client\(main-pages)\offers\products\[productId]\place-order                                                                            |          1 |         44 |          0 |          5 |         49 |
| client\src\app\client\(main-pages)\offers\services                                                                                                    |          1 |        564 |          1 |         52 |        617 |
| client\src\app\client\(personal)                                                                                                                      |          4 |         61 |          0 |         15 |         76 |
| client\src\app\client\(personal) (Files)                                                                                                              |          1 |         18 |          0 |          3 |         21 |
| client\src\app\client\(personal)\cart                                                                                                                 |          1 |         10 |          0 |          3 |         13 |
| client\src\app\client\(personal)\orders                                                                                                               |          1 |          5 |          0 |          3 |          8 |
| client\src\app\client\(personal)\profile                                                                                                              |          1 |         28 |          0 |          6 |         34 |
| client\src\app\test                                                                                                                                   |          1 |          5 |          0 |          3 |          8 |
| client\src\components                                                                                                                                 |         57 |      4,247 |         56 |        478 |      4,781 |
| client\src\components (Files)                                                                                                                         |          1 |          4 |          0 |          2 |          6 |
| client\src\components\Logo                                                                                                                            |          1 |         13 |          0 |          3 |         16 |
| client\src\components\Modals                                                                                                                          |         16 |      1,651 |         30 |        162 |      1,843 |
| client\src\components\Modals (Files)                                                                                                                  |         15 |      1,626 |         30 |        158 |      1,814 |
| client\src\components\Modals\modalContainer                                                                                                           |          1 |         25 |          0 |          4 |         29 |
| client\src\components\avatar                                                                                                                          |          1 |         35 |          0 |          6 |         41 |
| client\src\components\button                                                                                                                          |          2 |         46 |          0 |          9 |         55 |
| client\src\components\cards                                                                                                                           |         15 |        811 |          0 |        101 |        912 |
| client\src\components\cards (Files)                                                                                                                   |         11 |        580 |          0 |         63 |        643 |
| client\src\components\cards\calendar                                                                                                                  |          3 |        156 |          0 |         30 |        186 |
| client\src\components\cards\calendar (Files)                                                                                                          |          2 |         74 |          0 |         18 |         92 |
| client\src\components\cards\calendar\timeCard                                                                                                         |          1 |         82 |          0 |         12 |         94 |
| client\src\components\cards\carousel                                                                                                                  |          1 |         75 |          0 |          8 |         83 |
| client\src\components\graphs                                                                                                                          |          2 |        148 |          3 |         21 |        172 |
| client\src\components\input                                                                                                                           |          6 |        362 |          1 |         38 |        401 |
| client\src\components\navigation                                                                                                                      |          4 |        180 |         15 |         22 |        217 |
| client\src\components\pages                                                                                                                           |          3 |        323 |          7 |         34 |        364 |
| client\src\components\pages\Dashboard                                                                                                                 |          1 |         63 |          0 |          9 |         72 |
| client\src\components\pages\cart                                                                                                                      |          1 |         39 |          0 |          7 |         46 |
| client\src\components\pages\landing-page                                                                                                              |          1 |        221 |          7 |         18 |        246 |
| client\src\components\toast                                                                                                                           |          1 |         29 |          0 |          4 |         33 |
| client\src\components\ui                                                                                                                              |          5 |        645 |          0 |         76 |        721 |
| client\src\constants                                                                                                                                  |          8 |      2,941 |          0 |         22 |      2,963 |
| client\src\hooks                                                                                                                                      |         11 |        677 |          1 |        101 |        779 |
| client\src\hooks\fetcher                                                                                                                              |          3 |         86 |          0 |         12 |         98 |
| client\src\hooks\fetcher (Files)                                                                                                                      |          1 |         26 |          0 |          6 |         32 |
| client\src\hooks\fetcher\graphDatas                                                                                                                   |          2 |         60 |          0 |          6 |         66 |
| client\src\hooks\mailer                                                                                                                               |          1 |         24 |          0 |          4 |         28 |
| client\src\hooks\requests                                                                                                                             |          7 |        567 |          1 |         85 |        653 |
| client\src\lib                                                                                                                                        |          7 |        135 |          8 |         36 |        179 |
| client\src\lib (Files)                                                                                                                                |          1 |          5 |          0 |          2 |          7 |
| client\src\lib\function                                                                                                                               |          3 |         37 |          3 |         14 |         54 |
| client\src\lib\function (Files)                                                                                                                       |          2 |         24 |          3 |          8 |         35 |
| client\src\lib\function\encrypter                                                                                                                     |          1 |         13 |          0 |          6 |         19 |
| client\src\lib\util                                                                                                                                   |          3 |         93 |          5 |         20 |        118 |
| client\src\lib\util (Files)                                                                                                                           |          2 |         45 |          4 |         11 |         60 |
| client\src\lib\util\schema                                                                                                                            |          1 |         48 |          1 |          9 |         58 |
| client\src\providers                                                                                                                                  |          3 |         90 |          0 |         26 |        116 |
| client\src\style                                                                                                                                      |          2 |         37 |          0 |          9 |         46 |
| server                                                                                                                                                |         39 |      3,222 |          5 |        236 |      3,463 |
| server (Files)                                                                                                                                        |          4 |      2,044 |          1 |         11 |      2,056 |
| server\config                                                                                                                                         |          1 |         13 |          0 |          4 |         17 |
| server\controller                                                                                                                                     |         10 |        561 |          2 |         95 |        658 |
| server\controller (Files)                                                                                                                             |          9 |        524 |          2 |         87 |        613 |
| server\controller\mailer                                                                                                                              |          1 |         37 |          0 |          8 |         45 |
| server\jobs                                                                                                                                           |          1 |         17 |          1 |          3 |         21 |
| server\lib                                                                                                                                            |          2 |         84 |          0 |         10 |         94 |
| server\lib (Files)                                                                                                                                    |          1 |         16 |          0 |          4 |         20 |
| server\lib\emailLayout                                                                                                                                |          1 |         68 |          0 |          6 |         74 |
| server\middlewares                                                                                                                                    |          2 |         37 |          0 |         11 |         48 |
| server\middlewares\authenticateUser                                                                                                                   |          1 |         17 |          0 |          6 |         23 |
| server\middlewares\validators                                                                                                                         |          1 |         20 |          0 |          5 |         25 |
| server\model                                                                                                                                          |          9 |        375 |          0 |         70 |        445 |
| server\routes                                                                                                                                         |         10 |         91 |          1 |         32 |        124 |
| server\routes (Files)                                                                                                                                 |          9 |         86 |          1 |         28 |        115 |
| server\routes\mailer                                                                                                                                  |          1 |          5 |          0 |          4 |          9 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\SQL\db_schema.sql                                                                   | MS SQL             |        140 |         17 |         36 |        193 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\.env                                                                         | Properties         |          5 |          0 |          2 |          7 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\.eslintrc.json                                                               | JSON with Comments |          3 |          0 |          1 |          4 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\README.md                                                                    | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\components.json                                                              | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\next.config.mjs                                                              | JavaScript         |          6 |          1 |          2 |          9 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\package-lock.json                                                            | JSON               |      6,591 |          0 |          1 |      6,592 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\package.json                                                                 | JSON               |         67 |          0 |          1 |         68 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\postcss.config.mjs                                                           | JavaScript         |          6 |          1 |          2 |          9 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\public\images\about.svg                                                      | XML                |         19 |          0 |          1 |         20 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\public\images\aboutv2.svg                                                    | XML                |         19 |          0 |          1 |         20 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\(auth)\forgot-password\page.tsx                                      | TypeScript JSX     |        208 |          2 |         19 |        229 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\(auth)\login\page.tsx                                                | TypeScript JSX     |         72 |          6 |          9 |         87 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\admin-profile\page.tsx                                         | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\booking-request\page.tsx                                       | TypeScript JSX     |        225 |          1 |         19 |        245 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\dashboard\page.tsx                                             | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\inquiries\page.tsx                                             | TypeScript JSX     |        109 |          0 |          8 |        117 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\installers\page.tsx                                            | TypeScript JSX     |        171 |          3 |         12 |        186 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\layout.tsx                                                     | TypeScript JSX     |         34 |          0 |          3 |         37 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\orders\page.tsx                                                | TypeScript JSX     |         41 |          0 |          5 |         46 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\products\[productId]\page.tsx                                  | TypeScript JSX     |        138 |          0 |          8 |        146 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\products\add-products\page.tsx                                 | TypeScript JSX     |         89 |          0 |          9 |         98 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\products\page.tsx                                              | TypeScript JSX     |         65 |          0 |          5 |         70 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\services\page.tsx                                              | TypeScript JSX     |        111 |          1 |         13 |        125 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\users\[userId]\page.tsx                                        | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\admin\users\page.tsx                                                 | TypeScript JSX     |         46 |          0 |          5 |         51 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\api\auth\[...nextauth]\option.ts                                     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\api\auth\[...nextauth]\route.ts                                      | TypeScript         |          4 |          0 |          3 |          7 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\api\mailer\route.ts                                                  | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\about-us\page.tsx                                | TypeScript JSX     |         78 |          3 |          6 |         87 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\layout.tsx                                       | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\loading.tsx                               | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\page.tsx                                  | TypeScript JSX     |         44 |         15 |          5 |         64 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\products\[productId]\page.tsx             | TypeScript JSX     |        106 |          0 |          8 |        114 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\products\[productId]\place-order\page.tsx | TypeScript JSX     |         44 |          0 |          5 |         49 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\products\page.tsx                         | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(main-pages)\offers\services\page.tsx                         | TypeScript JSX     |        564 |          1 |         52 |        617 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\cart\page.tsx                                      | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\layout.tsx                                         | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\orders\page.tsx                                    | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\client\(personal)\profile\page.tsx                                   | TypeScript JSX     |         28 |          0 |          6 |         34 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\globals.css                                                          | CSS                |         25 |          0 |          7 |         32 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\layout.tsx                                                           | TypeScript JSX     |         36 |          1 |          3 |         40 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\loading.tsx                                                          | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\middleware.ts                                                        | TypeScript         |          0 |          0 |          2 |          2 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\page.tsx                                                             | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\app\test\page.tsx                                                        | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Logo\index.tsx                                                | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\AddInstallerModal.tsx                                  | TypeScript JSX     |        149 |          0 |         15 |        164 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\AddServiceModal.tsx                                    | TypeScript JSX     |         74 |          0 |          8 |         82 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\AssignInstallerModal.tsx                               | TypeScript JSX     |        169 |          0 |         10 |        179 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\BookingConfirmation.tsx                                | TypeScript JSX     |         39 |          0 |          6 |         45 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\BookingRequestModal.tsx                                | TypeScript JSX     |        216 |         26 |         24 |        266 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\DeclineModal.tsx                                       | TypeScript JSX     |         62 |          0 |         11 |         73 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\ForgotPasswordModal.tsx                                | TypeScript JSX     |         33 |          0 |          6 |         39 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\InquiryModal.tsx                                       | TypeScript JSX     |         72 |          0 |          8 |         80 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\InstallerModal.tsx                                     | TypeScript JSX     |        244 |          0 |         17 |        261 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\LoginModal.tsx                                         | TypeScript JSX     |        143 |          0 |         14 |        157 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\LogoutModal.tsx                                        | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\OtpModal.tsx                                           | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\RegisterModal.tsx                                      | TypeScript JSX     |        169 |          0 |         12 |        181 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\ServicesModal.tsx                                      | TypeScript JSX     |        133 |          3 |         14 |        150 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\TermsModal.tsx                                         | TypeScript JSX     |         72 |          1 |          3 |         76 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\Modals\modalContainer\ModalContainer.tsx                      | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\avatar\index.tsx                                              | TypeScript JSX     |         35 |          0 |          6 |         41 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\button\OrangeButton.tsx                                       | TypeScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\button\OrangeLinkButton.tsx                                   | TypeScript JSX     |         18 |          0 |          5 |         23 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\AboutUsInfoCard.tsx                                     | TypeScript JSX     |        119 |          0 |          7 |        126 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\BookingRequestCard.tsx                                  | TypeScript JSX     |         93 |          0 |          8 |        101 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\BrandBalls.tsx                                          | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\CartCard.tsx                                            | TypeScript JSX     |         38 |          0 |          5 |         43 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\DashboardCard.tsx                                       | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\ImagePreviewCard.tsx                                    | TypeScript JSX     |         34 |          0 |          5 |         39 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\OffersCard.tsx                                          | TypeScript JSX     |         80 |          0 |         11 |         91 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\OrderPreviewCard.tsx                                    | TypeScript JSX     |         38 |          0 |          5 |         43 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\ProductPreview.tsx                                      | TypeScript JSX     |         39 |          0 |          5 |         44 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\ServicePreviewCard.tsx                                  | TypeScript JSX     |         39 |          0 |          5 |         44 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\ServicesSummary.tsx                                     | TypeScript JSX     |         67 |          0 |          5 |         72 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\calendar\Calendar.tsx                                   | TypeScript JSX     |         59 |          0 |         14 |         73 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\calendar\style.css                                      | CSS                |         15 |          0 |          4 |         19 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\calendar\timeCard\TimeCard.tsx                          | TypeScript JSX     |         82 |          0 |         12 |         94 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\cards\carousel\ImageCarousel.tsx                              | TypeScript JSX     |         75 |          0 |          8 |         83 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\graphs\Donut.tsx                                              | TypeScript JSX     |         38 |          0 |          8 |         46 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\graphs\Line.tsx                                               | TypeScript JSX     |        110 |          3 |         13 |        126 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\index.ts                                                      | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\DropDown.tsx                                            | TypeScript JSX     |         82 |          0 |          6 |         88 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\DropDownMulti.tsx                                       | TypeScript JSX     |        114 |          1 |          8 |        123 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\ImageUpload.tsx                                         | TypeScript JSX     |         58 |          0 |          7 |         65 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\SearchBar.tsx                                           | TypeScript JSX     |         51 |          0 |          7 |         58 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\inputOrange.tsx                                         | TypeScript JSX     |         36 |          0 |          6 |         42 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\input\reactPickers.tsx                                        | TypeScript JSX     |         21 |          0 |          4 |         25 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\Footer.tsx                                         | TypeScript JSX     |         43 |          0 |          5 |         48 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\Loader.tsx                                         | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\Sidebar.tsx                                        | TypeScript JSX     |         75 |         11 |          7 |         93 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\navigation\navbar.tsx                                         | TypeScript JSX     |         56 |          4 |          7 |         67 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\pages\Dashboard\AdminDashboard.tsx                            | TypeScript JSX     |         63 |          0 |          9 |         72 |
| c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\components\pages\cart\Cart.tsx                                           | TypeScript JSX     |         39 |          0 |          7 |         46 |
